Lines of code metrics,Sat, 4 Dec 2021 09:02:07 SGT
Method,CLOC,JLOC,LOC,NCLOC,RLOC
"org.argouml.model.XmiReferenceRuntimeException.XmiReferenceRuntimeException(Throwable)",4,5,8,3,19.05%
"org.argouml.model.XmiReferenceRuntimeException.getReference()",2,3,6,3,14.29%
"org.argouml.model.XmiWriter.setXmiExtensionWriter(XmiExtensionWriter)",5,n/a,n/a,1,28.00%
"org.argouml.model.XmiWriter.write()",4,n/a,n/a,1,24.00%
"org.argouml.model.mdr.AbstractUmlModelFactoryMDR.AbstractUmlModelFactoryMDR()",4,3,6,2,24.00%
"org.argouml.model.mdr.AbstractUmlModelFactoryMDR.initialize(Object)",5,5,8,2,32.00%
"org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl.ActivityGraphsFactoryMDRImpl(MDRModelImplementation)",4,6,9,3,4.66%
"org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl.buildActivityGraph(Object)",3,0,29,26,15.03%
"org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl.buildClassifierInState(Object,Collection)",2,0,21,19,10.88%
"org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl.buildObjectFlowState(Object)",0,0,8,8,4.15%
"org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl.createActionState()",0,0,6,6,3.11%
"org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl.createActivityGraph()",0,0,6,6,3.11%
"org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl.createCallState()",0,0,6,6,3.11%
"org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl.createClassifierInState()",0,0,7,7,3.63%
"org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl.createObjectFlowState()",0,0,7,7,3.63%
"org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl.createPartition()",0,0,6,6,3.11%
"org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl.createSubactivityState()",0,0,7,7,3.63%
"org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl.deleteActionState(Object)",2,4,9,5,4.66%
"org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl.deleteActivityGraph(Object)",4,4,11,5,5.70%
"org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl.deleteCallState(Object)",2,4,9,5,4.66%
"org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl.deleteClassifierInState(Object)",2,4,9,5,4.66%
"org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl.deleteObjectFlowState(Object)",2,4,9,5,4.66%
"org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl.deletePartition(Object)",2,4,9,5,4.66%
"org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl.deleteSubactivityState(Object)",2,4,9,5,4.66%
"org.argouml.model.mdr.ActivityGraphsHelperMDRImpl.ActivityGraphsHelperMDRImpl()",3,3,6,3,4.55%
"org.argouml.model.mdr.ActivityGraphsHelperMDRImpl.addContent(Object,Object)",0,0,4,4,3.03%
"org.argouml.model.mdr.ActivityGraphsHelperMDRImpl.addInState(Object,Object)",0,0,11,11,8.33%
"org.argouml.model.mdr.ActivityGraphsHelperMDRImpl.addParameter(Object,Object)",0,0,4,4,3.03%
"org.argouml.model.mdr.ActivityGraphsHelperMDRImpl.findClassifierByName(Object,String)",4,0,34,30,25.76%
"org.argouml.model.mdr.ActivityGraphsHelperMDRImpl.findStateByName(Object,String)",0,0,27,27,20.45%
"org.argouml.model.mdr.ActivityGraphsHelperMDRImpl.isAddingActivityGraphAllowed(Object)",0,0,5,5,3.79%
"org.argouml.model.mdr.ActivityGraphsHelperMDRImpl.removeContent(Object,Object)",0,0,4,4,3.03%
"org.argouml.model.mdr.ActivityGraphsHelperMDRImpl.removeParameter(Object,Object)",0,0,3,3,2.27%
"org.argouml.model.mdr.ActivityGraphsHelperMDRImpl.setContents(Object,Collection)",0,0,9,9,6.82%
"org.argouml.model.mdr.ActivityGraphsHelperMDRImpl.setInStates(Object,Collection)",0,0,9,9,6.82%
"org.argouml.model.mdr.ActivityGraphsHelperMDRImpl.setParameters(Object,Collection)",0,0,5,5,3.79%
"org.argouml.model.mdr.ActivityGraphsHelperMDRImpl.setSynch(Object,boolean)",0,0,3,3,2.27%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.CollaborationsFactoryMDRImpl(MDRModelImplementation)",4,6,9,3,2.03%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.buildActivator(Object,Object)",0,0,16,16,3.61%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.buildAssociationEndRole(Object)",0,0,6,6,1.35%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.buildAssociationRole(ClassifierRole,ClassifierRole)",5,3,19,14,4.29%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.buildAssociationRole(Object)",0,0,26,26,5.87%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.buildAssociationRole(Object,Object)",0,0,3,3,0.68%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.buildAssociationRole(Object,Object,Object,Object,Boolean)",0,0,10,10,2.26%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.buildAssociationRole(Object,Object,Object,Object,boolean)",1,0,15,15,3.39%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.buildClassifierRole(Object)",0,0,7,7,1.58%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.buildCollaboration(Object)",0,0,8,8,1.81%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.buildCollaboration(Object,Object)",0,0,24,24,5.42%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.buildInteraction(Object)",0,0,7,7,1.58%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.buildLifeline(Object)",0,0,7,7,1.58%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.buildMessage(Object,Object)",0,0,19,19,4.29%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.buildMessageCollab(Collaboration,AssociationRole)",0,0,10,10,2.26%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.buildMessageInteraction(Interaction,AssociationRole)",11,16,45,29,10.16%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.checkAggregationKind(Object)",4,6,12,6,2.71%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.createAssociationEndRole()",0,0,6,6,1.35%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.createAssociationRole()",0,0,6,6,1.35%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.createClassifierRole()",0,0,3,3,0.68%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.createCollaboration()",0,0,6,6,1.35%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.createCollaborationInstanceSet()",0,0,7,7,1.58%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.createInteraction()",0,0,6,6,1.35%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.createInteractionInstanceSet()",0,0,7,7,1.58%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.createLifeline()",0,0,6,6,1.35%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.createMessage()",0,0,6,6,1.35%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.deleteAssociationEndRole(Object)",2,4,9,5,2.03%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.deleteAssociationRole(Object)",2,4,10,6,2.26%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.deleteClassifierRole(Object)",11,4,22,9,4.97%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.deleteCollaboration(Object)",2,4,9,5,2.03%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.deleteCollaborationInstanceSet(Object)",4,4,11,5,2.48%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.deleteInteraction(Object)",2,4,9,5,2.03%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.deleteInteractionInstanceSet(Object)",2,4,9,5,2.03%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.deleteMessage(Object)",4,4,13,7,2.93%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.findEnd(Message)",5,7,17,10,3.84%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.getCollabPkg()",0,0,3,3,0.68%
"org.argouml.model.mdr.CollaborationsFactoryMDRImpl.lastMessage(Collection<Message>,Message)",5,10,19,9,4.29%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.CollaborationsHelperMDRImpl(MDRModelImplementation)",4,6,9,3,1.17%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.addBase(Object,Object)",0,0,26,26,3.39%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.addConstrainingElement(Object,Object)",0,0,10,10,1.30%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.addInstance(Object,Object)",0,0,9,9,1.17%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.addMessage(Object,Object)",0,0,18,18,2.35%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.addPredecessor(Object,Object)",0,0,9,9,1.17%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.addSuccessor(Object,Object)",0,0,8,8,1.04%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.allAvailableContents(Object)",0,0,24,24,3.13%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.allAvailableFeatures(Object)",0,0,24,24,3.13%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.filterClassifiers(Collection)",0,0,8,8,1.04%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.getAllClassifierRoles(Object)",0,0,19,19,2.48%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.getAllImportedClassifiers(Object)",5,7,12,5,1.56%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.getAllPossibleActivators(Object)",0,0,22,22,2.87%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.getAllPossibleAssociationRoles(Object)",0,0,19,19,2.48%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.getAllPossibleBases(AssociationRole)",24,11,78,51,10.17%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.getAllPossibleBases(ClassifierRole)",19,9,66,44,8.60%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.getAllPossibleBases(Object)",0,0,13,13,1.69%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.getAllPossiblePredecessors(Object)",0,0,23,23,3.00%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.getAssociationRole(Object,Object)",0,0,25,25,3.26%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.getClassifierRoles(Object)",0,0,30,30,3.91%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.hasAsActivator(Object,Object)",0,0,21,21,2.74%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.isAddingCollaborationAllowed(Object)",2,0,8,6,1.04%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.removeBase(Object,Object)",0,0,12,12,1.56%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.removeConstrainingElement(Object,Object)",0,0,14,14,1.83%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.removeInteraction(Object,Object)",0,0,13,13,1.69%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.removeMessage(Object,Object)",0,0,17,17,2.22%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.removePredecessor(Object,Object)",0,0,12,12,1.56%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.removeSuccessor(Object,Object)",0,0,15,15,1.96%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.setAction(Object,Object)",0,0,9,9,1.17%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.setActivator(Object,Object)",9,0,57,48,7.43%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.setBase(Object,Object)",1,0,41,40,5.35%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.setBases(Object,Collection)",0,0,7,7,0.91%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.setContext(Object,Object)",0,0,9,9,1.17%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.setMessageSort(Object,Object)",0,0,3,3,0.39%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.setPredecessors(Object,Collection)",0,0,9,9,1.17%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.setRepresentedClassifier(Object,Object)",0,0,10,10,1.30%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.setRepresentedOperation(Object,Object)",0,0,10,10,1.30%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.setSender(Object,Object)",0,0,13,13,1.69%
"org.argouml.model.mdr.CollaborationsHelperMDRImpl.setSuccessors(Object,Collection)",0,0,18,18,2.35%
"org.argouml.model.mdr.CollectionHelper.update(Collection,Collection)",8,12,36,24,83.72%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.CommonBehaviorFactoryMDRImpl(MDRModelImplementation)",4,6,9,3,1.64%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.buildAction(Object)",0,0,16,16,2.91%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.buildCallAction(Object,String)",0,0,10,10,1.82%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.buildLink(Object,Object)",0,0,10,10,1.82%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.buildReception(Object)",0,0,7,7,1.28%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.buildSignal(Object)",0,0,27,27,4.92%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.buildSignalInt(Object)",3,5,11,6,2.00%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.buildStimulus(Object)",0,0,16,16,2.91%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.buildUninterpretedAction(Object)",0,0,7,7,1.28%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createActionSequence()",0,0,6,6,1.09%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createArgument()",0,0,6,6,1.09%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createAttributeLink()",0,0,6,6,1.09%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createCallAction()",0,0,5,5,0.91%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createComponentInstance()",0,0,6,6,1.09%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createCreateAction()",0,0,6,6,1.09%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createDataValue()",0,0,5,5,0.91%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createDestroyAction()",0,0,6,6,1.09%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createException()",0,0,6,6,1.09%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createLink()",0,0,5,5,0.91%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createLinkEnd()",0,0,5,5,0.91%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createLinkObject()",0,0,5,5,0.91%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createNodeInstance()",0,0,6,6,1.09%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createObject()",0,0,6,6,1.09%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createReception()",0,0,5,5,0.91%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createReturnAction()",0,0,6,6,1.09%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createSendAction()",0,0,5,5,0.91%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createSignal()",0,0,5,5,0.91%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createStimulus()",0,0,5,5,0.91%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createSubsystemInstance()",0,0,6,6,1.09%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createTerminateAction()",0,0,6,6,1.09%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createUninterpretedAction()",0,0,6,6,1.09%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteAction(Object)",4,4,20,14,3.64%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteActionSequence(Object)",2,4,9,5,1.64%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteArgument(Object)",2,4,9,5,1.64%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteAttributeLink(Object)",2,4,9,5,1.64%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteCallAction(Object)",2,4,9,5,1.64%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteComponentInstance(Object)",2,4,9,5,1.64%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteCreateAction(Object)",2,4,9,5,1.64%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteDataValue(Object)",2,4,9,5,1.64%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteDestroyAction(Object)",2,4,9,5,1.64%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteException(Object)",2,4,9,5,1.64%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteInstance(Object)",11,8,44,31,8.01%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteLink(Object)",2,4,9,5,1.64%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteLinkEnd(Object)",5,6,16,10,2.91%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteLinkObject(Object)",2,4,9,5,1.64%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteNodeInstance(Object)",2,4,9,5,1.64%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteObject(Object)",2,4,9,5,1.64%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteReception(Object)",2,4,9,5,1.64%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteReturnAction(Object)",2,4,9,5,1.64%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteSendAction(Object)",2,4,9,5,1.64%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteSignal(Object)",4,4,20,14,3.64%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteStimulus(Object)",4,4,22,16,4.01%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteSubsystemInstance(Object)",2,4,9,5,1.64%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteTerminateAction(Object)",2,4,9,5,1.64%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.deleteUninterpretedAction(Object)",2,4,9,5,1.64%
"org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.getCbPackage()",0,0,3,3,0.55%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.CommonBehaviorHelperMDRImpl(MDRModelImplementation)",4,6,9,3,1.66%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.addAction(Object,Object)",0,0,11,11,2.03%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.addAction(Object,int,Object)",0,0,12,12,2.21%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.addActualArgument(Object,Object)",0,0,8,8,1.48%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.addActualArgument(Object,int,Object)",0,0,13,13,2.40%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.addClassifier(Object,Object)",0,0,8,8,1.48%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.addContext(Object,Object)",4,6,16,10,2.95%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.addReception(Object,Object)",4,6,13,7,2.40%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.addStimulus(Object,Object)",0,0,15,15,2.77%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.equal(Expression,Expression)",0,0,11,11,2.03%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.getActionOwner(Object)",0,0,26,26,4.80%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.getDestination(Object)",0,0,10,10,1.85%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.getInstantiation(Object)",0,0,10,10,1.85%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.getSource(Object)",0,0,10,10,1.85%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.removeAction(Object,Object)",0,0,11,11,2.03%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.removeActualArgument(Object,Object)",0,0,12,12,2.21%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.removeClassifier(Object,Object)",0,0,13,13,2.40%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.removeContext(Object,Object)",0,0,16,16,2.95%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.removeReception(Object,Object)",2,0,14,12,2.58%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.setActualArguments(Object,List)",0,0,13,13,2.40%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.setAsynchronous(Object,boolean)",0,0,7,7,1.29%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.setClassifiers(Object,Collection)",0,0,8,8,1.48%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.setCommunicationLink(Object,Object)",0,0,7,7,1.29%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.setComponentInstance(Object,Object)",0,0,8,8,1.48%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.setContexts(Object,Collection)",0,0,16,16,2.95%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.setDispatchAction(Object,Object)",0,0,9,9,1.66%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.setInstance(Object,Object)",0,0,14,14,2.58%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.setInstantiation(Object,Object)",0,0,14,14,2.58%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.setNodeInstance(Object,Object)",5,0,19,14,3.51%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.setOperation(Object,Object)",0,0,14,14,2.58%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.setReceiver(Object,Object)",4,0,17,13,3.14%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.setReception(Object,Collection)",0,0,17,17,3.14%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.setRecurrence(Object,Object)",0,0,11,11,2.03%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.setScript(Object,Object)",1,0,19,18,3.51%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.setSender(Object,Object)",0,0,13,13,2.40%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.setSignal(Object,Object)",0,0,18,18,3.32%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.setSpecification(Object,String)",0,0,7,7,1.29%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.setTarget(Object,Object)",0,0,22,22,4.06%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.setTransition(Object,Object)",0,0,14,14,2.58%
"org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.setValue(Object,Object)",0,0,26,26,4.80%
"org.argouml.model.mdr.CopyHelper.CopyHelper(MDRModelImplementation)",4,6,9,3,9.38%
"org.argouml.model.mdr.CopyHelper.copy(Object,Object)",3,23,54,30,56.25%
"org.argouml.model.mdr.CopyHelper.fullCopy(Object,Object)",4,7,21,14,21.88%
"org.argouml.model.mdr.CoreFactoryMDRImpl.CoreFactoryMDRImpl(MDRModelImplementation)",4,6,9,3,0.46%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildAbstraction(String,Object,Object)",0,0,18,18,0.92%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildAssociation(Classifier,boolean,AggregationKind,Classifier,boolean,AggregationKind)",7,19,54,32,2.75%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildAssociation(Object,Object)",0,0,7,7,0.36%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildAssociation(Object,Object,Object,Object,Boolean)",0,0,13,13,0.66%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildAssociation(Object,Object,Object,Object,boolean)",0,0,31,31,1.58%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildAssociation(Object,boolean,Object,boolean,String)",0,0,10,10,0.51%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildAssociationClass(Object,Object)",0,0,25,25,1.27%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildAssociationEnd(Object,Object)",0,0,8,8,0.41%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildAssociationEnd(Object,String,Object,Integer[],Object,boolean,Object,Object,Object,Object,Object)",0,0,22,22,1.12%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildAssociationEnd(Object,String,Object,Object,Object,boolean,Object,Object,Object,Object,Object)",0,0,30,30,1.53%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildAssociationEndInternal(Object,String,Object,Object,boolean,Object,Object,Object,Object,Object)",2,0,71,69,3.62%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildAttribute()",3,4,13,9,0.66%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildAttribute(Object,Object)",0,0,3,3,0.15%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildAttribute2(Object)",0,0,5,5,0.25%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildAttribute2(Object,Object)",0,0,13,13,0.66%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildBinding(Object,Object,List)",4,0,42,38,2.14%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildClass()",0,0,3,3,0.15%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildClass(Object)",0,0,32,32,1.63%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildClass(String)",0,0,5,5,0.25%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildClass(String,Object)",0,0,8,8,0.41%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildComment(Object,Object)",0,0,16,16,0.82%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildConstraint(Object)",0,0,11,11,0.56%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildConstraint(String,Object)",0,0,11,11,0.56%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildDataType(String,Object)",0,0,8,8,0.41%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildDependency(Object,Object)",0,0,17,17,0.87%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildElementResidence(Object,Object)",0,0,10,10,0.51%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildEnumeration(String,Object)",0,0,8,8,0.41%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildEnumerationLiteral(String,Object)",0,0,7,7,0.36%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildGeneralization(Object,Object)",14,0,49,35,2.50%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildInterface()",0,0,10,10,0.51%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildInterface(Object)",0,0,7,7,0.36%
"org.argouml.model.mdr.CoreFactoryMDRImpl.buildInterface(String)",0,0,5,5,0.25%
