Lines of code metrics,Sat, 4 Dec 2021 09:02:07 SGT
Method,CLOC,JLOC,LOC,NCLOC,RLOC
"org.argouml.application.events.ArgoEventPump.addListener(int,ArgoEventListener)",2,4,7,3,1.62%
"org.argouml.application.events.ArgoEventPump.doAddListener(int,ArgoEventListener)",2,4,12,8,2.78%
"org.argouml.application.events.ArgoEventPump.doFireEvent(ArgoEvent)",5,3,23,17,5.32%
"org.argouml.application.events.ArgoEventPump.doRemoveListener(int,ArgoEventListener)",11,9,36,23,8.33%
"org.argouml.application.events.ArgoEventPump.fireDiagramAppearanceEventInternal(ArgoDiagramAppearanceEvent,ArgoDiagramAppearanceEventListener)",0,0,12,12,2.78%
"org.argouml.application.events.ArgoEventPump.fireEvent(ArgoEvent)",2,3,6,3,1.39%
"org.argouml.application.events.ArgoEventPump.fireNotationEventInternal(ArgoNotationEvent,ArgoNotationEventListener)",3,0,26,23,6.02%
"org.argouml.application.events.ArgoEventPump.getInstance()",2,3,6,3,1.39%
"org.argouml.application.events.ArgoEventPump.handleFireDiagramAppearanceEvent(ArgoDiagramAppearanceEvent,ArgoDiagramAppearanceEventListener)",6,8,21,13,4.86%
"org.argouml.application.events.ArgoEventPump.handleFireEvent(ArgoEvent,ArgoEventListener)",0,0,64,64,14.81%
"org.argouml.application.events.ArgoEventPump.handleFireGeneratorEvent(ArgoGeneratorEvent,ArgoGeneratorEventListener)",4,6,24,18,5.56%
"org.argouml.application.events.ArgoEventPump.handleFireHelpEvent(ArgoHelpEvent,ArgoHelpEventListener)",4,6,21,15,4.86%
"org.argouml.application.events.ArgoEventPump.handleFireNotationEvent(ArgoNotationEvent,ArgoNotationEventListener)",9,8,24,13,5.56%
"org.argouml.application.events.ArgoEventPump.handleFireProfileEvent(ArgoProfileEvent,ArgoProfileEventListener)",4,6,21,15,4.86%
"org.argouml.application.events.ArgoEventPump.handleFireStatusEvent(ArgoStatusEvent,ArgoStatusEventListener)",4,6,30,24,6.94%
"org.argouml.application.events.ArgoEventPump.removeListener(ArgoEventListener)",2,3,6,3,1.39%
"org.argouml.application.events.ArgoEventPump.removeListener(int,ArgoEventListener)",2,4,7,3,1.62%
"org.argouml.application.events.ArgoGeneratorEvent.ArgoGeneratorEvent(int,Object)",2,4,7,3,36.84%
"org.argouml.application.events.ArgoGeneratorEvent.getEventStartRange()",4,5,6,1,31.58%
"org.argouml.application.events.ArgoGeneratorEventListener.generatorAdded(ArgoGeneratorEvent)",3,n/a,n/a,1,21.74%
"org.argouml.application.events.ArgoGeneratorEventListener.generatorChanged(ArgoGeneratorEvent)",3,n/a,n/a,1,21.74%
"org.argouml.application.events.ArgoGeneratorEventListener.generatorRemoved(ArgoGeneratorEvent)",3,n/a,n/a,1,21.74%
"org.argouml.application.events.ArgoHelpEvent.ArgoHelpEvent(int,Object,String)",2,5,9,4,26.47%
"org.argouml.application.events.ArgoHelpEvent.getEventStartRange()",4,5,9,4,26.47%
"org.argouml.application.events.ArgoHelpEvent.getHelpText()",2,3,6,3,17.65%
"org.argouml.application.events.ArgoHelpEventListener.helpChanged(ArgoHelpEvent)",5,n/a,n/a,1,33.33%
"org.argouml.application.events.ArgoHelpEventListener.helpRemoved(ArgoHelpEvent)",4,n/a,n/a,1,28.57%
"org.argouml.application.events.ArgoNotationEvent.ArgoNotationEvent(int,Object)",2,4,7,3,36.84%
"org.argouml.application.events.ArgoNotationEvent.getEventStartRange()",4,5,6,1,31.58%
"org.argouml.application.events.ArgoNotationEventListener.notationAdded(ArgoNotationEvent)",3,n/a,n/a,1,14.29%
"org.argouml.application.events.ArgoNotationEventListener.notationChanged(ArgoNotationEvent)",3,n/a,n/a,1,14.29%
"org.argouml.application.events.ArgoNotationEventListener.notationProviderAdded(ArgoNotationEvent)",3,n/a,n/a,1,17.14%
"org.argouml.application.events.ArgoNotationEventListener.notationProviderRemoved(ArgoNotationEvent)",3,n/a,n/a,1,17.14%
"org.argouml.application.events.ArgoNotationEventListener.notationRemoved(ArgoNotationEvent)",3,n/a,n/a,1,14.29%
"org.argouml.application.events.ArgoProfileEvent.ArgoProfileEvent(int,Object)",2,4,7,3,33.33%
"org.argouml.application.events.ArgoProfileEvent.getEventStartRange()",4,5,6,1,28.57%
"org.argouml.application.events.ArgoProfileEventListener.profileAdded(ArgoProfileEvent)",3,n/a,n/a,1,27.78%
"org.argouml.application.events.ArgoProfileEventListener.profileRemoved(ArgoProfileEvent)",3,n/a,n/a,1,27.78%
"org.argouml.application.events.ArgoStatusEvent.ArgoStatusEvent(int,Object,String)",2,5,9,4,25.71%
"org.argouml.application.events.ArgoStatusEvent.getEventStartRange()",4,5,9,4,25.71%
"org.argouml.application.events.ArgoStatusEvent.getText()",2,4,7,3,20.00%
"org.argouml.application.events.ArgoStatusEventListener.projectLoaded(ArgoStatusEvent)",4,n/a,n/a,1,16.28%
"org.argouml.application.events.ArgoStatusEventListener.projectModified(ArgoStatusEvent)",4,n/a,n/a,1,18.60%
"org.argouml.application.events.ArgoStatusEventListener.projectSaved(ArgoStatusEvent)",4,n/a,n/a,1,16.28%
"org.argouml.application.events.ArgoStatusEventListener.statusCleared(ArgoStatusEvent)",4,n/a,n/a,1,13.95%
"org.argouml.application.events.ArgoStatusEventListener.statusText(ArgoStatusEvent)",5,n/a,n/a,1,16.28%
"org.argouml.application.helpers.ApplicationVersion.ApplicationVersion()",3,3,5,2,11.90%
"org.argouml.application.helpers.ApplicationVersion.getStableVersion()",2,4,7,3,16.67%
"org.argouml.application.helpers.ApplicationVersion.getVersion()",4,5,8,3,19.05%
"org.argouml.application.helpers.ApplicationVersion.init(String,String)",2,4,10,6,23.81%
"org.argouml.application.helpers.ResourceLoader.addResourceExtension(String)",6,8,13,5,6.84%
"org.argouml.application.helpers.ResourceLoader.addResourceLocation(String)",6,8,13,5,6.84%
"org.argouml.application.helpers.ResourceLoader.containsExtension(String)",0,0,3,3,1.58%
"org.argouml.application.helpers.ResourceLoader.containsLocation(String)",0,0,3,3,1.58%
"org.argouml.application.helpers.ResourceLoader.isInCache(String)",0,0,3,3,1.58%
"org.argouml.application.helpers.ResourceLoader.lookupIconResource(String)",0,0,3,3,1.58%
"org.argouml.application.helpers.ResourceLoader.lookupIconResource(String,ClassLoader)",0,0,4,4,2.11%
"org.argouml.application.helpers.ResourceLoader.lookupIconResource(String,String)",0,0,3,3,1.58%
"org.argouml.application.helpers.ResourceLoader.lookupIconResource(String,String,ClassLoader)",6,13,29,16,15.26%
"org.argouml.application.helpers.ResourceLoader.lookupIconUrl(String,ClassLoader)",6,11,37,25,19.47%
"org.argouml.application.helpers.ResourceLoader.removeResourceExtension(String)",4,5,14,9,7.37%
"org.argouml.application.helpers.ResourceLoader.removeResourceLocation(String)",4,6,15,9,7.89%
"org.argouml.application.helpers.ResourceLoader.toJavaIdentifier(String)",8,0,29,21,15.26%
"org.argouml.application.helpers.ResourceLoaderWrapper.ResourceLoaderWrapper()",3,3,6,3,1.43%
"org.argouml.application.helpers.ResourceLoaderWrapper.addResourceLocation(String)",5,6,9,3,2.14%
"org.argouml.application.helpers.ResourceLoaderWrapper.getImageBinding(String)",4,6,13,7,3.10%
"org.argouml.application.helpers.ResourceLoaderWrapper.getInstance()",4,5,8,3,1.90%
"org.argouml.application.helpers.ResourceLoaderWrapper.initResourceLoader()",11,8,65,54,15.48%
"org.argouml.application.helpers.ResourceLoaderWrapper.lookAndFeelPath(String,String)",4,9,15,6,3.57%
"org.argouml.application.helpers.ResourceLoaderWrapper.lookupIcon(Object)",7,10,79,66,18.81%
"org.argouml.application.helpers.ResourceLoaderWrapper.lookupIcon(String)",4,6,10,4,2.38%
"org.argouml.application.helpers.ResourceLoaderWrapper.lookupIconResource(String)",4,6,9,3,2.14%
"org.argouml.application.helpers.ResourceLoaderWrapper.lookupIconResource(String,String)",4,7,10,3,2.38%
"org.argouml.application.helpers.ResourceLoaderWrapper.lookupIconUrl(String)",4,6,9,3,2.14%
"org.argouml.application.helpers.ResourceLoaderWrapper.lookupIconUrl(String,ClassLoader)",4,7,10,3,2.38%
"org.argouml.application.security.ArgoAwtExceptionHandler.ArgoAwtExceptionHandler()",4,4,6,2,20.00%
"org.argouml.application.security.ArgoAwtExceptionHandler.handle(Throwable)",5,9,12,3,40.00%
"org.argouml.cognitive.AbstractCognitiveTranslator.i18nlocalize(String)",2,n/a,n/a,1,29.41%
"org.argouml.cognitive.AbstractCognitiveTranslator.i18nmessageFormat(String,Object[])",2,n/a,n/a,1,35.29%
"org.argouml.cognitive.Agency.Agency()",5,5,8,3,2.35%
"org.argouml.cognitive.Agency.Agency(ControlMech)",6,7,10,3,2.93%
"org.argouml.cognitive.Agency.addCritic(Critic)",2,3,16,13,4.69%
"org.argouml.cognitive.Agency.addStaticObserver(Observer)",6,7,14,7,4.11%
"org.argouml.cognitive.Agency.applyAllCritics(Object,Designer)",2,4,9,5,2.64%
"org.argouml.cognitive.Agency.applyAllCritics(Object,Designer,long)",9,12,20,8,5.87%
"org.argouml.cognitive.Agency.applyCritics(Object,Designer,Collection<Critic>,long)",2,6,25,19,7.33%
"org.argouml.cognitive.Agency.criticListForSpecificClass(Class)",7,9,17,8,4.99%
"org.argouml.cognitive.Agency.criticsForClass(Class)",5,7,26,19,7.62%
"org.argouml.cognitive.Agency.determineActiveCritics(Designer)",14,15,24,9,7.04%
"org.argouml.cognitive.Agency.getCriticList()",2,3,6,3,1.76%
"org.argouml.cognitive.Agency.getCriticRegistry()",2,3,6,3,1.76%
"org.argouml.cognitive.Agency.notifyStaticObservers(Object)",4,5,11,6,3.23%
"org.argouml.cognitive.Agency.register(Critic)",5,6,12,6,3.52%
"org.argouml.cognitive.Agency.register(Critic,Class)",8,10,24,14,7.04%
"org.argouml.cognitive.Agency.register(Critic,Object)",3,5,8,3,2.35%
"org.argouml.cognitive.Agency.register(String,String)",2,4,38,34,11.14%
"org.argouml.cognitive.Agency.theAgency()",8,11,18,7,5.28%
"org.argouml.cognitive.AndCM.isRelevant(Critic,Designer)",3,0,11,8,84.62%
"org.argouml.cognitive.CompositeCM.addMech(ControlMech)",2,4,7,3,43.75%
"org.argouml.cognitive.CompositeCM.getMechList()",2,3,6,3,37.50%
"org.argouml.cognitive.CompoundCritic.CompoundCritic()",4,4,6,2,2.36%
"org.argouml.cognitive.CompoundCritic.CompoundCritic(Critic,Critic)",4,6,11,5,4.33%
"org.argouml.cognitive.CompoundCritic.CompoundCritic(Critic,Critic,Critic)",4,7,11,4,4.33%
"org.argouml.cognitive.CompoundCritic.CompoundCritic(Critic,Critic,Critic,Critic)",4,8,12,4,4.72%
"org.argouml.cognitive.CompoundCritic.addCritic(Critic)",2,3,6,3,2.36%
"org.argouml.cognitive.CompoundCritic.addExtraCriticizedDesignMaterial(Object)",5,6,9,3,3.54%
"org.argouml.cognitive.CompoundCritic.addKnowledgeType(String)",3,0,7,4,2.76%
"org.argouml.cognitive.CompoundCritic.addSupportedDecision(Decision)",3,0,7,4,2.76%
"org.argouml.cognitive.CompoundCritic.addSupportedGoal(Goal)",3,0,7,4,2.76%
"org.argouml.cognitive.CompoundCritic.containsKnowledgeType(String)",3,0,12,9,4.72%
